Algorithm,Dataset,Comparison,Raw Eigs,Unfolded,Largest,Largest20,Noise,Noise (shift),Brody,Rigidity,Levelvar,Guess,Mean (all),Mean (obs),Mean (spec),Max (all),Max (obs),Max (spec)
KNN-3,OSTEO,nopain_v_pain,0.5789473684210527,0.5614035087719298,0.6666666666666666,0.631578947368421,0.4912280701754386,0.43859649122807015,0.3508771929824561,0.5964912280701754,0.5964912280701754,0.6491228070175439,-0.10331384015594547,-0.15438596491228068,-0.13450292397660824,0.01754385964912275,-0.052631578947368474,-0.052631578947368474
KNN-4,OSTEO,nopain_v_pain,0.4912280701754386,0.4736842105263158,0.631578947368421,0.6491228070175439,0.4912280701754386,0.43859649122807015,0.3508771929824561,0.5789473684210527,0.5964912280701754,0.6491228070175439,-0.12670565302144254,-0.15789473684210525,-0.14035087719298256,0.0,-0.052631578947368474,-0.052631578947368474
KNN-5,OSTEO,nopain_v_pain,0.5087719298245614,0.5614035087719298,0.5789473684210527,0.5614035087719298,0.43859649122807015,0.3333333333333333,0.3508771929824561,0.6491228070175439,0.631578947368421,0.6491228070175439,-0.1364522417153997,-0.16842105263157897,-0.10526315789473684,0.0,0.0,0.0
KNN-6,OSTEO,nopain_v_pain,0.4912280701754386,0.456140350877193,0.631578947368421,0.6140350877192983,0.43859649122807015,0.3333333333333333,0.3508771929824561,0.6491228070175439,0.6491228070175439,0.6491228070175439,-0.1364522417153997,-0.1649122807017544,-0.09941520467836262,0.0,0.0,0.0
KNN-7,OSTEO,nopain_v_pain,0.4912280701754386,0.543859649122807,0.7192982456140351,0.6140350877192983,0.42105263157894735,0.6842105263157895,0.3508771929824561,0.6666666666666666,0.5964912280701754,0.6491228070175439,-0.08382066276803124,-0.10526315789473684,-0.11111111111111105,0.07017543859649122,0.03508771929824561,0.01754385964912275
KNN-8,OSTEO,nopain_v_pain,0.43859649122807015,0.6140350877192983,0.7368421052631579,0.6140350877192983,0.4912280701754386,0.6842105263157895,0.3508771929824561,0.631578947368421,0.6491228070175439,0.6491228070175439,-0.07017543859649122,-0.08771929824561409,-0.10526315789473684,0.08771929824561397,0.03508771929824561,0.0
KNN-9,OSTEO,nopain_v_pain,0.543859649122807,0.631578947368421,0.6666666666666666,0.631578947368421,0.543859649122807,0.5964912280701754,0.3508771929824561,0.6140350877192983,0.631578947368421,0.6491228070175439,-0.07017543859649122,-0.10175438596491237,-0.11695906432748537,0.01754385964912275,-0.01754385964912286,-0.01754385964912286
KNN-10,OSTEO,nopain_v_pain,0.456140350877193,0.5964912280701754,0.6666666666666666,0.6140350877192983,0.5789473684210527,0.5789473684210527,0.3508771929824561,0.5789473684210527,0.6140350877192983,0.6491228070175439,-0.08966861598440556,-0.10877192982456141,-0.13450292397660824,0.01754385964912275,-0.03508771929824561,-0.03508771929824561
KNN-20,OSTEO,nopain_v_pain,0.6491228070175439,0.5614035087719298,0.7192982456140351,0.6842105263157895,0.4736842105263158,0.6491228070175439,0.3508771929824561,0.543859649122807,0.5789473684210527,0.6491228070175439,-0.07017543859649122,-0.12982456140350873,-0.15789473684210525,0.07017543859649122,0.0,-0.07017543859649122
Logistic Regression,OSTEO,duloxetine_v_nopain,0.6410256410256411,,0.5641025641025641,0.6923076923076923,0.5384615384615384,0.28205128205128205,0.0,0.5384615384615384,0.6153846153846154,0.5128205128205128,-0.0288461538461538,-0.11794871794871786,-0.1282051282051282,0.17948717948717952,0.10256410256410264,0.10256410256410264
