Algorithm,Dataset,Comparison,Raw Eigs,Unfolded,Largest,Largest20,Noise,Noise (shift),Brody,Rigidity,Levelvar,Guess,Mean (all),Mean (obs),Mean (spec),Max (all),Max (obs),Max (spec)
SVM,OSTEO,duloxetine_v_nopain,0.3333333333333333,,0.6153846153846154,0.4871794871794872,0.6923076923076923,0.02564102564102564,0.5128205128205128,0.6153846153846154,0.5384615384615384,0.5128205128205128,-0.03525641025641024,-0.03589743589743588,0.042735042735042694,0.17948717948717952,0.17948717948717952,0.10256410256410264
KNN-1,OSTEO,duloxetine_v_nopain,0.6410256410256411,,0.5641025641025641,0.6410256410256411,0.6410256410256411,0.4615384615384616,0.4871794871794872,0.5897435897435898,0.4615384615384616,0.5128205128205128,0.04807692307692313,0.015384615384615552,1.1102230246251565e-16,0.1282051282051283,0.1282051282051283,0.07692307692307698
KNN-2,OSTEO,duloxetine_v_nopain,0.5897435897435898,,0.6666666666666666,0.5897435897435898,0.6410256410256411,0.4615384615384616,0.4871794871794872,0.5897435897435898,0.5897435897435898,0.5128205128205128,0.0641025641025641,0.0410256410256411,0.042735042735042916,0.15384615384615385,0.1282051282051283,0.07692307692307698
KNN-3,OSTEO,duloxetine_v_nopain,0.5641025641025641,,0.5128205128205128,0.5641025641025641,0.5897435897435898,0.41025641025641024,0.4871794871794872,0.5641025641025641,0.4871794871794872,0.5128205128205128,0.009615384615384581,-0.00512820512820511,1.1102230246251565e-16,0.07692307692307698,0.07692307692307698,0.05128205128205132
KNN-4,OSTEO,duloxetine_v_nopain,0.5128205128205128,,0.4615384615384616,0.5384615384615384,0.5897435897435898,0.4358974358974359,0.4871794871794872,0.5897435897435898,0.5897435897435898,0.5128205128205128,0.012820512820512886,0.025641025641025772,0.042735042735042916,0.07692307692307698,0.07692307692307698,0.07692307692307698
KNN-5,OSTEO,duloxetine_v_nopain,0.5897435897435898,,0.41025641025641024,0.5897435897435898,0.7179487179487181,0.38461538461538464,0.4871794871794872,0.5897435897435898,0.5897435897435898,0.5128205128205128,0.03205128205128216,0.0410256410256411,0.042735042735042916,0.2051282051282053,0.2051282051282053,0.07692307692307698
KNN-6,OSTEO,duloxetine_v_nopain,0.6153846153846154,,0.5128205128205128,0.6153846153846154,0.7179487179487181,0.41025641025641024,0.4871794871794872,0.5641025641025641,0.5897435897435898,0.5128205128205128,0.05128205128205132,0.0410256410256411,0.03418803418803418,0.2051282051282053,0.2051282051282053,0.07692307692307698
KNN-7,OSTEO,duloxetine_v_nopain,0.5897435897435898,,0.4358974358974359,0.5897435897435898,0.7179487179487181,0.5384615384615384,0.4871794871794872,0.6153846153846154,0.5897435897435898,0.5128205128205128,0.05769230769230771,0.07692307692307698,0.05128205128205143,0.2051282051282053,0.2051282051282053,0.10256410256410264
KNN-8,OSTEO,duloxetine_v_nopain,0.5897435897435898,,0.5384615384615384,0.5897435897435898,0.7179487179487181,0.5384615384615384,0.4871794871794872,0.4871794871794872,0.5384615384615384,0.5128205128205128,0.04807692307692313,0.0410256410256411,-0.008547008547008517,0.2051282051282053,0.2051282051282053,0.02564102564102566
KNN-9,OSTEO,duloxetine_v_nopain,0.6153846153846154,,0.5384615384615384,0.6153846153846154,0.7179487179487181,0.35897435897435903,0.4871794871794872,0.5641025641025641,0.6410256410256411,0.5128205128205128,0.05448717948717963,0.0410256410256411,0.05128205128205143,0.2051282051282053,0.2051282051282053,0.1282051282051283
KNN-10,OSTEO,duloxetine_v_nopain,0.5641025641025641,,0.5641025641025641,0.5384615384615384,0.7179487179487181,0.3333333333333333,0.4871794871794872,0.5128205128205128,0.5897435897435898,0.5128205128205128,0.02564102564102566,0.015384615384615441,0.017094017094017144,0.2051282051282053,0.2051282051282053,0.07692307692307698
KNN-20,OSTEO,duloxetine_v_nopain,0.5128205128205128,,0.6153846153846154,0.5384615384615384,0.7179487179487181,0.20512820512820512,0.5128205128205128,0.6410256410256411,0.6153846153846154,0.5128205128205128,0.03205128205128205,0.025641025641025772,0.07692307692307698,0.2051282051282053,0.2051282051282053,0.1282051282051283
Logistic Regression,OSTEO,duloxetine_v_pain,0.5714285714285714,,0.6607142857142857,0.42857142857142855,0.6607142857142857,0.6607142857142857,0.6607142857142857,0.6428571428571429,0.6607142857142857,0.6607142857142857,-0.0424107142857143,-0.0035714285714285587,-0.005952380952380931,0.0,0.0,0.0
LDA,OSTEO,duloxetine_v_pain,0.5535714285714286,,0.6607142857142857,0.5178571428571429,0.6428571428571429,0.6071428571428571,0.6607142857142857,0.5357142857142857,0.26785714285714285,0.6607142857142857,-0.10491071428571419,-0.11785714285714288,-0.17261904761904762,0.0,0.0,0.0
SVM,OSTEO,duloxetine_v_pain,0.6607142857142857,,0.6607142857142857,0.6607142857142857,0.4642857142857143,0.7142857142857143,0.6607142857142857,0.625,0.625,0.6607142857142857,-0.0267857142857143,-0.042857142857142816,-0.023809523809523836,0.0535714285714286,0.0535714285714286,0.0
KNN-1,OSTEO,duloxetine_v_pain,0.5535714285714286,,0.4642857142857143,0.5535714285714286,0.5178571428571429,0.44642857142857145,0.3392857142857143,0.5357142857142857,0.6071428571428571,0.6607142857142857,-0.1584821428571429,-0.17142857142857137,-0.16666666666666663,-0.0535714285714286,-0.0535714285714286,-0.0535714285714286
